state,date,cases
Florida,2020-03-02,2
Florida,2020-03-01,2
Florida,2020-03-03,3
Florida,2020-03-04,3
Florida,2020-03-05,4
Florida,2020-03-06,7
Florida,2020-03-07,12
Florida,2020-03-08,13
Florida,2020-03-09,14
Florida,2020-03-10,23
Florida,2020-03-11,26
Florida,2020-03-12,46
Florida,2020-03-14,70
Florida,2020-03-13,70
Florida,2020-03-15,109
Florida,2020-03-16,141
Florida,2020-03-17,210
Florida,2020-03-18,326
Florida,2020-03-19,434
Florida,2020-03-20,564
Florida,2020-03-21,764
Florida,2020-03-22,1000
Florida,2020-03-23,1222
Florida,2020-03-24,1467
Florida,2020-03-25,1971
Florida,2020-03-26,2478
Florida,2020-03-27,3198
Florida,2020-03-28,4038
Florida,2020-03-29,4943
Florida,2020-03-30,5695
Florida,2020-03-31,6742
Florida,2020-04-01,7769
Florida,2020-04-02,9000
Florida,2020-04-03,10260
Florida,2020-04-04,11537
Florida,2020-04-05,12342
Florida,2020-04-06,13621
Florida,2020-04-07,14739
Florida,2020-04-08,15690
Florida,2020-04-09,16819
Florida,2020-04-10,17960
Florida,2020-04-11,18978
Florida,2020-04-12,19855
Florida,2020-04-13,21011
Florida,2020-04-14,21620
Florida,2020-04-15,22526
Florida,2020-04-16,23332
Florida,2020-04-17,24745
Florida,2020-04-18,25484
Florida,2020-04-19,26306
Florida,2020-04-20,27050
Florida,2020-04-21,27861
Florida,2020-04-22,28301
Florida,2020-04-23,29640
Florida,2020-04-24,30525
Florida,2020-04-25,30831
Florida,2020-04-26,31520
Florida,2020-04-27,32130
Florida,2020-04-28,32838
Florida,2020-04-29,33185
Florida,2020-04-30,33683
Florida,2020-05-01,34720
Florida,2020-05-02,35455
Florida,2020-05-03,36070
Florida,2020-05-04,36889
Florida,2020-05-05,37431
Florida,2020-05-06,37994
Florida,2020-05-07,38820
Florida,2020-05-08,39191
Florida,2020-05-09,39993
Florida,2020-05-10,40588
Florida,2020-05-11,40974
Florida,2020-05-12,41915
Florida,2020-05-13,42394
Florida,2020-05-14,43202
Florida,2020-05-15,44130
Florida,2020-05-16,44803
Florida,2020-05-17,45580
Florida,2020-05-18,46434
Florida,2020-05-19,46936
Florida,2020-05-20,47463
Florida,2020-05-21,48667
Florida,2020-05-22,49443
Florida,2020-05-23,50119
Florida,2020-05-24,50859
Florida,2020-05-25,51738
Florida,2020-05-26,52247
Florida,2020-05-27,52626
Florida,2020-05-28,53277
Florida,2020-05-29,54489
Florida,2020-05-30,55416
Florida,2020-05-31,56155
Florida,2020-06-01,56822
Florida,2020-06-02,57439
Florida,2020-06-03,58756
Florida,2020-06-04,60175
Florida,2020-06-05,61480
Florida,2020-06-06,62750
Florida,2020-06-07,63930
Florida,2020-06-08,64896
Florida,2020-06-09,65992
Florida,2020-06-10,67363
Florida,2020-06-11,69061
Florida,2020-06-12,70963
Florida,2020-06-13,73544
Florida,2020-06-14,75560
Florida,2020-06-15,77318
Florida,2020-06-16,80101
Florida,2020-06-17,82711
Florida,2020-06-18,85918
Florida,2020-06-19,89740
Florida,2020-06-20,93789
Florida,2020-06-21,97283
Florida,2020-06-22,100209
Florida,2020-06-23,103495
Florida,2020-06-24,109006
Florida,2020-06-25,114010
Florida,2020-06-26,122952
Florida,2020-06-27,132537
Florida,2020-06-28,141067
Florida,2020-06-29,146333
Florida,2020-06-30,152426
Florida,2020-07-01,158989
Florida,2020-07-02,169098
Florida,2020-07-03,178586
Florida,2020-07-04,190044
Florida,2020-07-05,200103
Florida,2020-07-06,206439
Florida,2020-07-07,213786
Florida,2020-07-08,223775
Florida,2020-07-09,232710
Florida,2020-07-10,244143
Florida,2020-07-11,254503
Florida,2020-07-12,269803
Florida,2020-07-13,282427
Florida,2020-07-14,291621
Florida,2020-07-15,301802
Florida,2020-07-16,315767
Florida,2020-07-17,327233
Florida,2020-07-18,337561
Florida,2020-07-19,350039
Florida,2020-07-20,360386
Florida,2020-07-21,369826
Florida,2020-07-22,379611
Florida,2020-07-23,389860
Florida,2020-07-24,402304
Florida,2020-07-25,414503
Florida,2020-07-26,423847
Florida,2020-07-27,432739
Florida,2020-07-28,441969
Florida,2020-07-29,451415
Florida,2020-07-30,461371
Florida,2020-07-31,470378
Florida,2020-08-01,480020
Florida,2020-08-02,487124
Florida,2020-08-03,491876
Florida,2020-08-04,497322
Florida,2020-08-05,502731
Florida,2020-08-06,510381
Florida,2020-08-07,518067
Florida,2020-08-08,526569
Florida,2020-08-09,532798
Florida,2020-08-10,536953
Florida,2020-08-11,542784
Florida,2020-08-12,550893
Florida,2020-08-13,557129
Florida,2020-08-14,563277
Florida,2020-08-15,569629
Florida,2020-08-16,573408
Florida,2020-08-17,576086
Florida,2020-08-18,579924
Florida,2020-08-19,584039
Florida,2020-08-20,588594
Florida,2020-08-21,593278
Florida,2020-08-22,597589
Florida,2020-08-23,600563
Florida,2020-08-24,602821
Florida,2020-08-25,605494
Florida,2020-08-26,608714
Florida,2020-08-27,611983
Florida,2020-08-28,615798
Florida,2020-08-29,618995
Florida,2020-08-30,621578
Florida,2020-08-31,623463
Florida,2020-09-01,631032
Florida,2020-09-02,633434
Florida,2020-09-03,637005
Florida,2020-09-04,640203
Florida,2020-09-05,643859
Florida,2020-09-06,646423
Florida,2020-09-07,648261
Florida,2020-09-08,650084
Florida,2020-09-09,652140
Florida,2020-09-10,654723
Florida,2020-09-11,658373
Florida,2020-09-12,661563
Florida,2020-09-13,663986
Florida,2020-09-14,665722
Florida,2020-09-15,668838
Florida,2020-09-16,671193
Florida,2020-09-17,674448
Florida,2020-09-18,677652
Florida,2020-09-19,681225
Florida,2020-09-20,683746
Florida,2020-09-21,685431
Florida,2020-09-22,687901
Florida,2020-09-23,690491
Florida,2020-09-24,693032
Florida,2020-09-25,695879
Florida,2020-09-26,698674
Florida,2020-09-27,700556
Florida,2020-09-28,701294
Florida,2020-09-29,704560
Florida,2020-09-30,706508
Florida,2020-10-01,709136
Florida,2020-10-02,711796
Florida,2020-10-03,714583
Florida,2020-10-04,716451
Florida,2020-10-05,717866
Florida,2020-10-06,720117
Florida,2020-10-07,722699
Florida,2020-10-08,726005
Florida,2020-10-10,728913
Florida,2020-10-09,728913
Florida,2020-10-11,734483
Florida,2020-10-12,736016
Florida,2020-10-13,738741
Florida,2020-10-14,741624
Florida,2020-10-15,744980
Florida,2020-10-16,748429
Florida,2020-10-17,752473
Florida,2020-10-18,755012
Florida,2020-10-19,756719
Florida,2020-10-20,760381
Florida,2020-10-21,762525
Florida,2020-10-22,768083
Florida,2020-10-23,771772
Florida,2020-10-24,776243
Florida,2020-10-25,778628
Florida,2020-10-26,782005
Florida,2020-10-27,786303
Florida,2020-10-28,790418
Florida,2020-10-29,794616
Florida,2020-10-30,800208
Florida,2020-10-31,802539
Florida,2020-11-01,807404
Florida,2020-11-02,812055
Florida,2020-11-03,816692
Florida,2020-11-04,821115
Florida,2020-11-05,827372
Florida,2020-11-06,832617
Florida,2020-11-07,837069
Florida,2020-11-08,843889
Florida,2020-11-09,847813
Florida,2020-11-10,852166
Florida,2020-11-11,858004
Florida,2020-11-12,863611
Florida,2020-11-13,870544
Florida,2020-11-14,875088
Florida,2020-11-15,885193
Florida,2020-11-16,889856
Florida,2020-11-17,897315
Florida,2020-11-18,905240
Florida,2020-11-19,914325
Florida,2020-11-20,923410
Florida,2020-11-21,931819
Florida,2020-11-22,938406
Florida,2020-11-23,944737
Florida,2020-11-24,953292
Florida,2020-11-26,961668
Florida,2020-11-25,961668
Florida,2020-11-27,979012
Florida,2020-11-28,985289
Florida,2020-11-29,992652
Florida,2020-11-30,999311
Florida,2020-12-01,1008158
Florida,2020-12-02,1018152
Florida,2020-12-03,1029022
Florida,2020-12-04,1039199
Florida,2020-12-05,1049630
Florida,2020-12-06,1058066
Florida,2020-12-07,1065777
Florida,2020-12-08,1073762
Florida,2020-12-09,1083354
Florida,2020-12-10,1094689
Florida,2020-12-11,1106388
Florida,2020-12-12,1116965
Florida,2020-12-13,1125923
Florida,2020-12-14,1134375
Florida,2020-12-15,1143786
Florida,2020-12-16,1155327
Florida,2020-12-17,1168475
Florida,2020-12-18,1181475
Florida,2020-12-19,1193157
Florida,2020-12-20,1201558
Florida,2020-12-21,1212573
Florida,2020-12-22,1223007
Florida,2020-12-23,1234391
Florida,2020-12-24,1247538
Florida,2020-12-25,1247538
Florida,2020-12-26,1264580
Florida,2020-12-27,1271971
Florida,2020-12-28,1280169
Florida,2020-12-29,1292244
Florida,2020-12-30,1306115
Florida,2020-12-31,1323307
Florida,2021-01-01,1323307
Florida,2021-01-02,1354825
Florida,2021-01-03,1365428
Florida,2021-01-04,1376684
Florida,2021-01-05,1392115
Florida,2021-01-06,1409898
Florida,2021-01-07,1429714
Florida,2021-01-08,1449244
Florida,2021-01-09,1464689
Florida,2021-01-10,1477002
Florida,2021-01-11,1488578
Florida,2021-01-12,1503474
Florida,2021-01-13,1517464
Florida,2021-01-14,1531184
Florida,2021-01-15,1548059
Florida,2021-01-16,1560178
Florida,2021-01-17,1571271
Florida,2021-01-18,1579273
Florida,2021-01-19,1589089
Florida,2021-01-20,1601003
Florida,2021-01-21,1613876
Florida,2021-01-22,1627595
Florida,2021-01-23,1639906
Florida,2021-01-24,1649441
Florida,2021-01-25,1658161
Florida,2021-01-26,1667755
Florida,2021-01-27,1676163
Florida,2021-01-28,1687586
Florida,2021-01-29,1698562
Florida,2021-01-30,1713581
Florida,2021-01-31,1721369
Florida,2021-02-01,1727099
Florida,2021-02-02,1737632
Florida,2021-02-03,1744611
Florida,2021-02-04,1752322
Florida,2021-02-05,1763865
Florida,2021-02-06,1771351
Florida,2021-02-07,1777975
Florida,2021-02-08,1783712
Florida,2021-02-09,1790735
Florida,2021-02-10,1798272
Florida,2021-02-11,1806797
Florida,2021-02-12,1814414
Florida,2021-02-13,1821929
Florida,2021-02-14,1827365
Florida,2021-02-15,1830980
Florida,2021-02-16,1837277
Florida,2021-02-17,1844619
Florida,2021-02-18,1849736
Florida,2021-02-19,1856419
Florida,2021-02-20,1863699
Florida,2021-02-21,1868764
